"","FID","Year.x","CY","pixFAV","pixSAV","pixWat","percFAV","percSAV","percWat","spr1cy","spr2cy","spr3cy","pszsav","pszfav","uniqueID","SprTtlYrs","Orig_FID","Habitat","Stratum","index","SprayPolyAreaM2","Latitude","Longitude","RID","DBWsiteAreaM2","yr_corr","yr_rid","ttlX24D","ttlGlyph","cnt.rws","Year.y","AggHabitat","AggStratum"
"69",84,"2004",0,19,399,2533,0.00643849542527957,0.135208403930871,0.85835310064385,0,0,0,NA,NA,"84_2004",2,86,"Channel","LowerSacRiver",69,35631.11,38.168195,-121.670949,141,2065808.67,"2003","2003_141",NA,NA,NA,NA,"Channel","NorthDelta"
"70",85,"2004",0,503,1164,13227,0.0337719887202901,0.0781522760843293,0.888075735195381,0,0,0,NA,NA,"85_2004",2,87,"SlowShallows","LowerSacRiver",70,222958.74,38.17328,-121.666062,240,1347133.06,"2003","2003_240",NA,NA,NA,NA,"SlowShallows","NorthDelta"
"71",86,"2004",1,579,416,2346,0.173301406764442,0.124513618677043,0.702184974558515,0,0,0,NA,NA,"86_2004",9,88,"Channel","NortheastDelta",71,56245.44,38.206433,-121.610142,252,774689.19,"2003","2003_252",5,0,2,2003,"Channel","NorthDelta"
"72",87,"2004",0,6,1853,1139,0.00200133422281521,0.618078719146097,0.379919946631087,0,0,0,NA,NA,"87_2004",3,89,"SlowShallows","NortheastDelta",72,46746.42,38.24363,-121.663937,262,1247393.85,"2003","2003_262",NA,NA,NA,NA,"SlowShallows","NorthDelta"
"73",88,"2004",0,12,99,1704,0.00661157024793388,0.0545454545454545,0.938842975206612,0,0,0,NA,NA,"88_2004",2,90,"FloodedIsland","CacheSlLibertyIs",73,23384.69,38.25023,-121.694628,272,1320022.84,"2003","2003_272",NA,NA,NA,NA,"FloodedIsland","NorthDelta"
"74",90,"2004",0,14,136,907,0.0132450331125828,0.128666035950804,0.858088930936613,0,0,0,NA,NA,"90_2004",8,92,"FloodedIsland","CacheSlLibertyIs",74,14035.92,38.274011,-121.664586,267,5786118.91,"2003","2003_267",NA,NA,NA,NA,"FloodedIsland","NorthDelta"
"75",91,"2004",0,75,1060,5515,0.0112781954887218,0.159398496240602,0.829323308270677,2,0,0,NA,NA,"91_2004",14,93,"Channel","NortheastDelta",75,115956.79,38.276228,-121.497071,216,360673.96,"2003","2003_216",0,8,4,2003,"Channel","NorthDelta"
"76",93,"2004",3,245,1245,125,0.151702786377709,0.770897832817337,0.0773993808049536,0,0,0,NA,NA,"93_2004",9,95,"Channel","SouthwestDelta",76,20390.93,37.978791,-121.514447,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"Channel","SouthwestDelta"
"77",94,"2004",3,213,970,1661,0.0748945147679325,0.341068917018284,0.584036568213783,0,0,0,NA,NA,"94_2004",9,96,"Channel","SouthwestDelta",77,35576.91,37.976581,-121.514705,60,1096611.75,"2003","2003_60",6.25,0,4,2003,"Channel","SouthwestDelta"
"78",95,"2004",3,81,354,1990,0.0334020618556701,0.145979381443299,0.820618556701031,0,0,0,NA,NA,"95_2004",6,97,"SlowShallows","SouthwestDelta",78,26095.5,38.001496,-121.567845,99,1889214.5,"2003","2003_99",29.25,0,19,2003,"SlowShallows","SouthwestDelta"
"79",96,"2004",0,691,240,340,0.54366640440598,0.18882769472856,0.26750590086546,2,0,0,NA,NA,"96_2004",7,98,"Channel","SoutheastDelta",79,66101.75,37.916044,-121.285757,6,215713.95,"2003","2003_6",NA,NA,NA,NA,"Channel","SoutheastDelta"
"80",97,"2004",0,0,1812,0,0,1,0,2,0,0,NA,NA,"97_2004",8,99,"Channel","SoutheastDelta",80,41166.25,37.951155,-121.313337,8,1921485.03,"2003","2003_8",2.75,0,2,2003,"Channel","SoutheastDelta"
"81",98,"2004",3,107,84,2687,0.037178596247394,0.029186935371786,0.93363446838082,0,0,0,NA,NA,"98_2004",7,100,"Channel","SoutheastDelta",81,71234.58,37.950394,-121.32595,8,1921485.03,"2003","2003_8",2.75,0,2,2003,"Channel","SoutheastDelta"
"82",102,"2004",0,1,129,2394,0.000396196513470681,0.0511093502377179,0.948494453248811,2,0,0,NA,NA,"102_2004",4,104,"Channel","SoutheastDelta",82,33479.03,37.95384,-121.338046,8,1921485.03,"2003","2003_8",2.75,0,2,2003,"Channel","SoutheastDelta"
"83",103,"2004",0,35,2587,7246,0.0035468179975679,0.262160518848804,0.734292663153628,2,0,0,NA,NA,"103_2004",12,105,"Channel","SoutheastDelta",83,148407.7,37.967475,-121.361819,8,1921485.03,"2003","2003_8",2.75,0,2,2003,"Channel","SoutheastDelta"
"84",109,"2004",3,1071,483,8424,0.107336139506915,0.0484064942874324,0.844257366205652,0,0,0,NA,NA,"109_2004",13,112,"Channel","SouthwestDelta",84,133275.56,37.935469,-121.529655,56,730079.05,"2003","2003_56",18.25,0,7,2003,"Channel","SouthwestDelta"
"85",110,"2004",3,517,708,7602,0.0585702956836977,0.080208451342472,0.86122125297383,0,0,0,NA,NA,"110_2004",12,113,"Channel","SouthwestDelta",85,126054.19,37.928799,-121.530729,56,730079.05,"2003","2003_56",18.25,0,7,2003,"Channel","SouthwestDelta"
"86",111,"2004",3,651,2504,7876,0.0590155017677454,0.226996645816336,0.713987852415919,0,0,0,NA,NA,"111_2004",16,114,"SlowShallows","SouthwestDelta",86,158435.27,37.925857,-121.52799,56,730079.05,"2003","2003_56",18.25,0,7,2003,"SlowShallows","SouthwestDelta"
"87",113,"2004",3,665,473,2468,0.184414864115363,0.131170271769273,0.684414864115363,0,0,0,NA,NA,"113_2004",15,116,"Channel","SoutheastDelta",87,46649.18,37.964744,-121.465767,61,318536.37,"2003","2003_61",11,0,5,2003,"Channel","SoutheastDelta"
"88",116,"2004",3,1990,788,5164,0.250566607907328,0.0992193402165701,0.650214051876102,0,0,0,NA,NA,"116_2004",12,119,"Channel","SoutheastDelta",88,120855.59,37.972673,-121.474766,12,532677.87,"2003","2003_12",1.25,0,1,2003,"Channel","SoutheastDelta"
"89",117,"2004",0,28,386,1720,0.0131208997188379,0.180880974695408,0.805998125585754,2,0,0,NA,NA,"117_2004",14,120,"Channel","SoutheastDelta",89,50425.36,37.981749,-121.473106,12,532677.87,"2003","2003_12",1.25,0,1,2003,"Channel","SoutheastDelta"
"90",118,"2004",0,0,176,3296,0,0.0506912442396313,0.949308755760369,2,0,0,NA,NA,"118_2004",13,121,"Channel","SoutheastDelta",90,39060.59,37.985559,-121.467422,12,532677.87,"2003","2003_12",1.25,0,1,2003,"Channel","SoutheastDelta"
"91",120,"2004",3,91,362,2449,0.0313576843556168,0.12474155754652,0.843900758097864,0,0,0,NA,NA,"120_2004",15,123,"Channel","SoutheastDelta",91,37675.34,38.002497,-121.444838,13,1804608.06,"2003","2003_13",18,0,8,2003,"Channel","SoutheastDelta"
"92",121,"2004",3,999,668,69,0.575460829493088,0.384792626728111,0.0397465437788018,0,0,0,NA,NA,"121_2004",14,124,"SlowShallows","SoutheastDelta",92,29651.87,38.007061,-121.444335,13,1804608.06,"2003","2003_13",18,0,8,2003,"SlowShallows","SoutheastDelta"
"93",122,"2004",3,370,471,1004,0.200542005420054,0.255284552845528,0.544173441734417,0,0,0,NA,NA,"122_2004",15,125,"Channel","SoutheastDelta",93,31841.64,38.003093,-121.445134,13,1804608.06,"2003","2003_13",18,0,8,2003,"Channel","SoutheastDelta"
"94",123,"2004",3,495,6110,57,0.0743020114079856,0.91714199939958,0.0085559891924347,0,0,0,NA,NA,"123_2004",14,126,"FloodedIsland","SoutheastDelta",94,70325.31,38.03393,-121.472943,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"FloodedIsland","SoutheastDelta"
"95",125,"2004",3,215,383,3476,0.0527736867943054,0.0940108001963672,0.853215513009327,0,0,0,NA,NA,"125_2004",13,128,"Channel","SoutheastDelta",95,40318.68,38.035429,-121.472126,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"Channel","SoutheastDelta"
"96",127,"2004",0,9929,14414,346,0.402162906557576,0.583822755073109,0.0140143383693143,2,0,0,NA,NA,"127_2004",10,130,"FloodedIsland","SoutheastDelta",96,255083.28,38.033116,-121.488565,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"FloodedIsland","SoutheastDelta"
